word,freq
tracao,9.951565725408381
masal,9.13683622932309
rotula,8.9976428968375
imap,8.508214272250893
engrenagem,8.34260114331605
estriada,8.300746199770671
pinhao,7.949842871399571
braco,7.871895006924959
blocante,7.870751173042545
imoto,7.799636140414566
pino,7.799103876672949
hidraulico,7.7223304177593
cacamba,7.627835100100789
arruela,7.569110564524287
bucha,7.568446940078937
boelter,7.445500324945229
eixo,7.396728633641269
engesa,7.379114823490471
planetaria,7.374103445592581
willys,7.354671161164651
embolo,7.325840896208109
distanciador,7.311464421115789
estrias,7.242568015937352
graneleiro,7.1849186185521265
porca,7.144320912102314
flange,7.1160869801873465
dianteiro,7.042942431406636
apl,6.986505325391644
lanca,6.970081247157432
troller,6.883766237601007
espacador,6.829766522061187
cardan,6.816787903417118
jumelo,6.810098539163538
acoplamento,6.733819230447832
direcao,6.716744863098073
imasa,6.5331260872324926
variador,6.519222666104384
haste,6.4774074280918645
trucado,6.4337244119720465
dana,6.4171099534981195
jada,6.396846211754012
entregando,6.38773591758132
bburago,6.379638006277413
reboque,6.359241460917552
ponteira,6.357096183756764
tatu,6.350220876895931
satelite,6.328532089164931
colhedoras,6.284813521258194
maisto,6.260609109460705
estabilizador,6.221846096484268
carcaca,6.218643322450812
flutuante,6.192539444111075
jacui,6.174553834392936
stara,6.134808049865179
cilindro,6.129243298913608
rolamento,6.119026322500674
blindagem,6.089546179626728
coyote,6.080119878513951
ecto,6.051586978083504
marrua,6.042184296639033
greenlight,6.026809674113633
semi,5.983036382827477
traseira,5.947202716807526
chaveta,5.93803999539145
semeadeira,5.9326742873333105
tração,5.894537947829882
levante,5.888536234738477
welly,5.881971450423983
unf,5.859845097460639
munhao,5.859845097460639
dinky,5.859845097460639
guincho,5.846931575026265
carraro,5.831178141027848
corgi,5.822428740598369
tdp,5.822428740598369
esquerdo,5.802470893580698
transmissao,5.781951625674128
mancal,5.710254829647485
transferencia,5.695544709253985
helice,5.694141599753565
espiga,5.668552634968653
javali,5.668552634968653
luva,5.660996730255502
dianteira,5.654962355996181
itabaiana,5.600927709503459
resinados,5.594254729096521
traseiro,5.593257570767885
norev,5.588329841873355
parafuso,5.557289427080297
deere,5.541989545399429
minichamps,5.537136616766769
garfo,5.533937561216701
rotor,5.513858486066289
viação,5.503385901107721
embreagem,5.475970496588372
articulacao,5.47221023999372
scania,5.434315684147048
mai,5.431294741672483
prolongamento,5.4192795194316465
acionamento,5.415776760827643
