word,freq
mococa,12.323746373854359
says:,10.85600083494249
"mococa,",9.970509489647261
disse:,9.915291230704053
beia,9.891844599345966
exportações,9.522107502733961
reply,9.522107502733961
agro,9.403625606836977
joinville,9.372248404676617
estreias,9.335855137186845
modelos,9.307255655060496
womens,9.231149747161767
responder,9.218427513844459
manchetes,9.213095820256486
array,8.873108673352018
usuário,8.856513028055858
marche,8.820073295234666
carne,8.8025238209508
exportação,8.757663002184376
brindes,8.647324927456363
vargem,8.612858116599282
leite,8.592959571626475
moldes,8.561842322783082
vagas,8.547958831694258
timão,8.546349272142308
para,8.473201058285632
cinemas,8.468722229027529
embrapa,8.456754389969593
rural,8.455745848665352
fama,8.43346890291603
gostaria,8.408829159243293
agrícola,8.32073688000383
responderexcluir,8.314294940476284
emprego,8.149971337097188
agricultura,8.147960331785068
participante,8.144626428416247
(sp),8.12418030471731
revistas,8.115697789497169
ibicoara,8.070660405042396
pessoais,8.051124921712193
região,8.016551138797059
tenho,8.004645451897316
mocoquense,8.003109065143521
soja,7.945838326110194
trabalhar,7.935723186135271
verdão,7.906430460577689
colheita,7.8975274176747785
シューズ,7.859083919465967
carvalho,7.8479377754556365
voltar,7.839639287663218
"josé,",7.8213785401012785
frango,7.815704515929855
agência,7.810712975929976
deputado,7.793153327143099
mens,7.788112774854063
tricolor,7.788112774854063
mais,7.745327637126136
provençal,7.71148281940083
rosa,7.6829889315147435
josé,7.673001472624931
produção,7.669434629745316
copa,7.654341214998278
verde,7.645348926590144
todos,7.642708542861958
respostas,7.638214531154189
modelo,7.635958994350272
café,7.631650187796433
brasil,7.6310616905849376
gols,7.62792858817033
qualquer,7.608388215552582
trabalho,7.607143783797813
azul,7.599883251623934
kids,7.5777764708139115
preto,7.547670357227618
quaisquer,7.54129289659869
vence,7.5283271630802675
mundial,7.518809426159265
alimentos,7.518547399700316
campanha,7.517095442915156
câmara,7.510832721678875
bovina,7.475275127066378
milho,7.468548371229174
custo,7.453921086329178
empresa,7.442097597026434
arroz,7.426572706202645
joão,7.421196235131808
como,7.414502126718389
feira,7.391517758317851
prefeitura,7.376226340008203
defensivos,7.359788490079404
#colabora,7.342717904983149
frozen,7.331765132378756
realizado,7.3303993131420455
janela),7.32542188567849
marrom,7.31827004150285
gado,7.311464421115788
ingles,7.302035676449169
curso,7.292058928666734
nacional,7.290525456828409
valporto,7.28554322294083
