word,freq
turbina,9.936724819990616
mecanico,9.489493897940958
retifica,9.11190422353473
injetora,8.803171589722268
automatico,8.416797894715703
tdi,8.352840397962709
carregadeira,8.067181228002745
hse,7.707742754026411
serie,7.621146620600364
volkswagem,7.586391412640587
injetor,7.585419409129251
axor,7.4330585007991505
intimo,7.407928151075902
tiptronic,7.220352702895202
escavadeira,7.2149465373352415
furgão,7.197649950423944
amg,7.1953181049884645
blindagem,7.192610587642018
trator,7.191579551310129
evoque,7.186514054650071
motoniveladora,7.16859650965191
navistar,7.0658038861673225
mpfi,7.027295420393088
diesel,6.970886986345646
rover,6.964096389984909
glx,6.932132234481987
colheitadeira,6.92397407604788
constellation,6.8547668075380725
std,6.839665787867137
stralis,6.831473440274274
scania,6.823363906701223
pajero,6.793840293104454
hilux,6.766567175805318
rotta,6.731890995133778
sorento,6.727575001094868
mpi,6.719620076612887
alcool,6.680343056118512
sprinter,6.677112678511344
gls,6.670499676000318
chassis,6.65908218148016
cruze,6.628718649026928
caminhao,6.627783739156388
srv,6.575876316168968
ducato,6.550251816693251
velar,6.522818321499622
cherokee,6.513739476520433
atego,6.509970968948924
triton,6.508104373134035
coupe,6.502268406300035
telescopico,6.486068392589348
cabrio,6.473762684755323
worker,6.43096268047072
gasolina,6.3831117049438095
cuica,6.379638006277413
tfsi,6.336802408188839
aut,6.332200320283113
ssangyong,6.32494129427011
agrale,6.320569536847469
captiva,6.3064642557143955
elx,6.300521492919465
frontier,6.291938285265339
etios,6.284620532861919
iveco,6.273552721378155
sedan,6.263555742074279
turbo,6.261974922317414
flex,6.2514810343721665
corsa,6.246983768864154
efi,6.242960715241647
aircross,6.24051833034175
livina,6.227221173139752
dlx,6.213706586692437
eibach,6.208174927833438
xlt,6.1905002985082955
amarok,6.1840605383381915
alleanza,6.177352353610914
xdrive,6.173497222493953
sportage,6.169133824244506
carpress,6.153504921991315
paladino,6.134084838319911
compactador,6.116229839733835
silverado,6.099854366845505
cabriolet,6.0770706584823415
supercharged,6.064751451721467
doblo,6.0640299228615335
picanto,6.052101688370691
renegade,6.0504477241711765
civic,6.037793612261528
audi,6.024974145186451
lxs,6.013555429509184
freelander,6.009283146184022
mitsubishi,6.002656428632081
fiesta,6.00174570816767
elantra,5.991479887551308
hyundai,5.989959258745427
gmc,5.972346221491012
tucson,5.970289307369284
corolla,5.953809869079541
xsara,5.952686676261111
fiorino,5.949632893462288
cerato,5.939844138713554
